# DOWNLOADS FOR EACH RELEASE:
v1.0.4-vague.improvements | downloads: 147
v1.0.28-additional.command.buttons.radial | downloads: 297
v1.1.11-captureable.person.ships | downloads: 358
v1.0.14-uniques | downloads: 178
v1.0.11-mission.helper | downloads: 213
v1.0.10-expert.crew.members | downloads: 198
v1.0.8-control.station | downloads: 401
v1.0.7-ship.merging | downloads: 215
v1.0.3-vague.improvements | downloads: 31
v1.0.12-combat.ai | downloads: 807
v1.0.4-job.coloring | downloads: 577
v1.0.1-heavy.traffic | downloads: 1185
v1.0.3-job.coloring | downloads: 670
v1.1.13-galactic.capital.investment | downloads: 1418
v1.1.12-galactic.capital.investment | downloads: 374
v1.0.0-heavy.traffic | downloads: 184
v1.1.7-hai.side.mission.unlocker | downloads: 1831
v1.1.6-more.boarding.missions | downloads: 2070
v1.1.6-hai.side.mission.unlocker | downloads: 11
v1.1.4-space.fauna | downloads: 1832
v1.0.10-mission.helper | downloads: 2027
v1.0.8-boss.loot | downloads: 2438
v1.0.7-control.station | downloads: 2170
v1.0.6-show.reputation | downloads: 2044
v1.0.6-ship.merging | downloads: 1902
v1.0.1-comets | downloads: 1514
v1.0.6-gegno.pirates | downloads: 2086
v1.0.5-gegno.pirates | downloads: 10
v1.0.2-job.coloring | downloads: 438
v1.0.7-boss.loot | downloads: 809
v1.0.1-job.coloring | downloads: 75
v1.0.0-job.coloring | downloads: 5
v1.0.0-comets | downloads: 230
v1.0.6-boss.loot | downloads: 1152
v1.0.5-boss.loot | downloads: 15
v1.0.4-boss.loot | downloads: 217
v1.1.10-captureable.person.ships | downloads: 3936
v1.1.11-galactic.capital.investment | downloads: 2970
v1.1.10-galactic.capital.investment | downloads: 109
v1.0.4-flare.play | downloads: 3900
v1.0.3-boss.loot | downloads: 933
v1.0.27-additional.command.buttons.radial | downloads: 5359
v1.0.9-mission.helper | downloads: 2532
v1.0.5-ship.merging | downloads: 2450
v1.0.2-vague.improvements | downloads: 1378
v1.0.11-combat.ai | downloads: 4923
v1.0.10-combat.ai | downloads: 19
v1.0.9-combat.ai | downloads: 6
v1.0.1-vague.improvements | downloads: 61
v1.0.4-ship.merging | downloads: 273
v1.0.3-ship.merging | downloads: 16
v1.0.0-vague.improvements | downloads: 29
v1.0.13-uniques | downloads: 4282
v1.0.6-control.station | downloads: 3203
v1.0.26-additional.command.buttons.radial | downloads: 388
v1.0.8-mission.helper | downloads: 368
v1.0.2-boss.loot | downloads: 409
v1.0.3-flare.play | downloads: 450
v1.0.6-quarg.farm | downloads: 4695
v1.0.2-ship.merging | downloads: 290
v1.0.12-uniques | downloads: 223
v1.0.5-control.station | downloads: 359
v1.0.1-boss.loot | downloads: 321
v1.1.3-space.fauna | downloads: 2580
v1.1.2-disable.spaceport.repeatables | downloads: 4940
v1.0.7-coalition.shopping | downloads: 5938
v1.0.5-too.many.asteroids | downloads: 2115
v1.0.4-planet.map | downloads: 3957
v1.0.4-no.more.mereti.mines | downloads: 4369
v1.0.4-jump.gates | downloads: 4838
v1.0.4-gegno.pirates | downloads: 3054
v1.0.3-tribute.republic | downloads: 4309
v1.0.3-more.arfectas | downloads: 3976
v1.0.3-kor.efret.shipyard | downloads: 4914
v1.0.2-highrollers.ltd | downloads: 4523
v1.0.2-automata.in.human.space | downloads: 5694
v1.0.2-automata.destruction.0percent | downloads: 5167
v1.0.1-kestrel.unlocks | downloads: 4651
v1.0.1-disable.person.ships | downloads: 4921
v1.0.5-landing.images | downloads: 4761
v1.0.3-landing.images.highres | downloads: 4506
v1.0.25-additional.command.buttons.radial | downloads: 330
v1.1.9-galactic.capital.investment | downloads: 959
v1.0.1-ship.merging | downloads: 274
v1.0.0-ship.merging | downloads: 15
v1.0.24-additional.command.buttons.radial | downloads: 61
v1.0.11-uniques | downloads: 207
v1.0.8-combat.ai | downloads: 730
